MovieTtile,Description,Duration,Genre,DirectorsName,Ratings,Stars,FilmingDate
The Lives of Others,"    In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",137 min,"Drama, Mystery, Thriller            ",Florian Henckel von Donnersmarck,8.4,"['    Stars:', 'Ulrich Mühe, ', 'Martina Gedeck, ', 'Sebastian Koch, ', 'Ulrich Tukur']",(2006)
Avengers: Infinity War,    The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,149 min,"Action, Adventure, Sci-Fi            ","Anthony Russo, ",8.4,"['| ', '    Stars:', 'Robert Downey Jr., ', 'Chris Hemsworth, ', 'Mark Ruffalo, ', 'Chris Evans']",(2018)
Django Unchained,"    With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",165 min,"Drama, Western            ",Quentin Tarantino,8.4,"['    Stars:', 'Jamie Foxx, ', 'Christoph Waltz, ', 'Leonardo DiCaprio, ', 'Kerry Washington']",(2012)
Spider-Man: Into the Spider-Verse,"    Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",117 min,"Animation, Action, Adventure            ","Bob Persichetti, ",8.4,"['Rodney Rothman', '| ', '    Stars:', 'Shameik Moore, ', 'Jake Johnson, ', 'Hailee Steinfeld, ', 'Mahershala Ali']",(2018)
The Shining,"    A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",146 min,"Drama, Horror            ",Stanley Kubrick,8.4,"['    Stars:', 'Jack Nicholson, ', 'Shelley Duvall, ', 'Danny Lloyd, ', 'Scatman Crothers']",(1980)
Paths of Glory,"    After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.",88 min,"Drama, War            ",Stanley Kubrick,8.4,"['    Stars:', 'Kirk Douglas, ', 'Ralph Meeker, ']",(1957)
WALL·E,"    In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",98 min,"Animation, Adventure, Family            ",Andrew Stanton,8.4,"['    Stars:', 'Ben Burtt, ', 'Elissa Knight, ', 'Jeff Garlin, ', 'Fred Willard']",(2008)
Sunset Blvd.,| ,110 min,"Drama, Film-Noir            ","William Holden, ",8.4,[],(1950)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,    An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.,95 min,Comedy            ,Stanley Kubrick,8.4,"['    Stars:', 'Peter Sellers, ', 'George C. Scott, ', 'Sterling Hayden, ', 'Keenan Wynn']",(1964)
Princess Mononoke,"    On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",134 min,"Animation, Adventure, Fantasy            ",Hayao Miyazaki,8.4,"['    Stars:', 'Yôji Matsuda, ', 'Yuriko Ishida, ', 'Yûko Tanaka, ', 'Billy Crudup']",(1997)
Oldboy,"    After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",120 min,"Action, Drama, Mystery            ",Chan-wook Park,8.4,"['    Stars:', 'Choi Min-sik, ', 'Yoo Ji-Tae, ', 'Hye-jeong Kang, ', 'Kim Byeong-Ok']",(2003)
Witness for the Prosecution,| ,116 min,"Crime, Drama, Mystery            ","Tyrone Power, ",8.4,"['Charles Laughton, ', 'Elsa Lanchester']",(1957)
The Dark Knight Rises,"    Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",164 min,"Action, Adventure            ",Christopher Nolan,8.4,"['    Stars:', 'Christian Bale, ', 'Tom Hardy, ', 'Anne Hathaway, ', 'Gary Oldman']",(2012)
Once Upon a Time in America,| ,229 min,"Crime, Drama            ","Robert De Niro, ",8.4,"['Elizabeth McGovern, ', 'Treat Williams']",(1984)
Parasite,    Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,132 min,"Comedy, Drama, Thriller            ",Bong Joon Ho,8.6,"['    Stars:', 'Song Kang-Ho, ', 'Sun-kyun Lee, ', 'Yeo-jeong Jo, ', 'Woo-sik Choi']",(2019)
Aliens,"    Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators.",137 min,"Action, Adventure, Sci-Fi            ",James Cameron,8.3,"['    Stars:', 'Sigourney Weaver, ', 'Michael Biehn, ', 'Carrie Henn, ', 'Paul Reiser']",(1986)
American Beauty,    A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,122 min,Drama            ,Sam Mendes,8.3,"['    Stars:', 'Kevin Spacey, ', 'Annette Bening, ', 'Thora Birch, ', 'Wes Bentley']",(1999)
Coco,"    Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",105 min,"Animation, Adventure, Family            ","Lee Unkrich, ",8.4,"['| ', '    Stars:', 'Anthony Gonzalez, ', 'Gael García Bernal, ', 'Benjamin Bratt, ', 'Alanna Ubach']",(I) (2017)
Your Name.,"    Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",106 min,"Animation, Drama, Fantasy            ",Makoto Shinkai,8.4,"['    Stars:', 'Ryûnosuke Kamiki, ', 'Mone Kamishiraishi, ', 'Ryô Narita, ', 'Aoi Yûki']",(2016)
Braveheart,    Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,178 min,"Biography, Drama, History            ",Mel Gibson,8.3,"['    Stars:', 'Mel Gibson, ', 'Sophie Marceau, ', 'Patrick McGoohan, ', 'Angus Macfadyen']",(1995)
Das Boot,"    The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror.",149 min,"Adventure, Drama, Thriller            ",Wolfgang Petersen,8.3,"['    Stars:', 'Jürgen Prochnow, ', 'Herbert Grönemeyer, ', 'Klaus Wennemann, ', 'Hubertus Bengsch']",(1981)
3 Idiots,"    Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",170 min,"Comedy, Drama            ",Rajkumar Hirani,8.4,"['    Stars:', 'Aamir Khan, ', 'Madhavan, ', 'Mona Singh, ', 'Sharman Joshi']",(2009)
Taare Zameen Par,Amole Gupte,165 min,"Drama, Family            ",    Stars:,8.4,"['Aamir Khan, ', 'Tisca Chopra, ', 'Vipin Sharma']",(2007)
Star Wars: Episode VI - Return of the Jedi,"    After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.",131 min,"Action, Adventure, Fantasy            ",Richard Marquand,8.3,"['    Stars:', 'Mark Hamill, ', 'Harrison Ford, ', 'Carrie Fisher, ', 'Billy Dee Williams']",(1983)
Toy Story,    A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,81 min,"Animation, Adventure, Comedy            ",John Lasseter,8.3,"['    Stars:', 'Tom Hanks, ', 'Tim Allen, ', 'Don Rickles, ', 'Jim Varney']",(1995)
